Date,Close
11/04/2019,39.33
12/04/2019,39.71
15/04/2019,39.57
16/04/2019,39.66
17/04/2019,39.99
18/04/2019,40.3
22/04/2019,39.5
23/04/2019,39.83
24/04/2019,39.72
25/04/2019,39.11
26/04/2019,39.68
29/04/2019,40.01
30/04/2019,38.95
01/05/2019,38.75
02/05/2019,38.25
03/05/2019,38.8
06/05/2019,38.09
07/05/2019,38.53
08/05/2019,38.21
09/05/2019,37.58
10/05/2019,37.89
13/05/2019,36.56
14/05/2019,37.04
15/05/2019,37.37
16/05/2019,37.38
17/05/2019,37
20/05/2019,36.97
21/05/2019,37.13
22/05/2019,35.55
23/05/2019,35.13
24/05/2019,35.12
28/05/2019,34.85
29/05/2019,34.79
30/05/2019,34.82
31/05/2019,33.34
03/06/2019,33.7
04/06/2019,35.73
05/06/2019,35.84
06/06/2019,35.19
07/06/2019,35.49
10/06/2019,36.01
11/06/2019,36.2
12/06/2019,35.67
13/06/2019,36.02
14/06/2019,35.66
17/06/2019,36.14
18/06/2019,36.7
19/06/2019,36.78
20/06/2019,36.96
21/06/2019,36.92
24/06/2019,36.96
25/06/2019,37.68
26/06/2019,38.13
27/06/2019,38.32
28/06/2019,38.53
01/07/2019,38.75
02/07/2019,38.34
03/07/2019,38.16
05/07/2019,38.5
08/07/2019,38.23
09/07/2019,38.08
10/07/2019,38.1
11/07/2019,38.43
12/07/2019,39.21
15/07/2019,39.36
16/07/2019,39.43
17/07/2019,39.16
18/07/2019,39.12
19/07/2019,39.48
22/07/2019,39.86
23/07/2019,40.71
24/07/2019,40.88
25/07/2019,40.75
26/07/2019,40.77
29/07/2019,40.68
30/07/2019,40.43
31/07/2019,40.34
01/08/2019,40.15
02/08/2019,39.78
05/08/2019,39.01
06/08/2019,39.08
07/08/2019,39.39
08/08/2019,40.1
09/08/2019,39.61
12/08/2019,38.86
13/08/2019,39.01
14/08/2019,37.19
15/08/2019,36.47
16/08/2019,37
19/08/2019,37.36
20/08/2019,36.96
21/08/2019,37.12
22/08/2019,37.26
23/08/2019,36.06
26/08/2019,36.25
27/08/2019,35.89
28/08/2019,36.44
29/08/2019,36.91
30/08/2019,37.09
03/09/2019,36.91
04/09/2019,38.24
05/09/2019,38.73
06/09/2019,38.78
09/09/2019,39.58
10/09/2019,39.58
11/09/2019,39.46
12/09/2019,39.07
13/09/2019,38.86
16/09/2019,37.21
17/09/2019,38.29
18/09/2019,38.18
19/09/2019,37.78
20/09/2019,37.37
23/09/2019,37.24
24/09/2019,36.77
25/09/2019,37.11
26/09/2019,37.61
27/09/2019,37.42
30/09/2019,37.48
01/10/2019,36.11
02/10/2019,34.68
03/10/2019,34.98
04/10/2019,34.91
07/10/2019,34.75
08/10/2019,33.88
09/10/2019,34.14
10/10/2019,34.66
11/10/2019,35.57
14/10/2019,35.5
15/10/2019,36.26
16/10/2019,36.65
17/10/2019,36.19
18/10/2019,36.17
21/10/2019,35.93
22/10/2019,36.31
23/10/2019,36.61
24/10/2019,35.82
25/10/2019,36.74
28/10/2019,36.64
29/10/2019,38.21
30/10/2019,37.91
31/10/2019,37.16
01/11/2019,37.97
04/11/2019,38.39
05/11/2019,38.23
06/11/2019,38.42
07/11/2019,38.49
08/11/2019,38.67
11/11/2019,38.72
12/11/2019,38.59
13/11/2019,37.19
14/11/2019,36.8
15/11/2019,36.89
18/11/2019,36.62
19/11/2019,36.38
20/11/2019,35.28
21/11/2019,34.67
22/11/2019,35.33
25/11/2019,35.81
26/11/2019,35.91
27/11/2019,36.14
29/11/2019,36
02/12/2019,35.88
03/12/2019,35.53
04/12/2019,35.8
05/12/2019,35.31
06/12/2019,35.54
09/12/2019,35.38
10/12/2019,35.11
11/12/2019,35.24
12/12/2019,36.1
13/12/2019,35.65
16/12/2019,36.11
17/12/2019,36.31
18/12/2019,37.31
19/12/2019,37.26
20/12/2019,37.25
23/12/2019,36.77
24/12/2019,36.58
26/12/2019,36.48
27/12/2019,36.56
30/12/2019,36.44
